Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
931,931,0,"s_18",0
932,932,0,"s_33_1",0
933,933,0,"s_33_2",0
934,934,0,"s_33_3",0
935,935,0,"s_35",0
936,936,0,"s_32",0
937,937,0,"s_0",0
938,938,0,"s_18",0
939,939,0,"s_33_1",0
940,940,0,"s_33_2",0
941,941,0,"s_33_3",0
942,942,0,"s_35",0
943,943,0,"s_32",0
944,944,0,"s_0",0
945,945,0,"s_18",0
946,946,0,"s_33_1",0
947,947,0,"s_33_2",0
948,948,0,"s_33_3",0
949,949,0,"s_35",0
950,950,0,"s_32",0
951,951,0,"s_0",0
952,952,0,"s_18",0
953,953,0,"s_33_1",0
954,954,0,"s_33_2",0
955,955,0,"s_33_3",0
956,956,0,"s_35",0
957,957,0,"s_32",0
958,958,0,"s_0",0
959,959,0,"s_18",0
960,960,0,"s_33_1",0
961,961,0,"s_33_2",0
962,962,0,"s_33_3",0
963,963,0,"s_35",0
964,964,0,"s_32",0
965,965,0,"s_0",0
966,966,0,"s_18",0
967,967,0,"s_33_1",0
968,968,0,"s_33_2",0
969,969,0,"s_33_3",0
970,970,0,"s_35",0
971,971,0,"s_32",0
972,972,0,"s_0",0
973,973,0,"s_18",0
974,974,0,"s_33_1",0
975,975,0,"s_33_2",0
976,976,0,"s_33_3",0
977,977,0,"s_35",0
